25-07-2025 16:07:46 - Inicio de sesion del usuario jeremias, transcurrieron 0 dias, 5 horas, 3 minutos y 23 segundos hasta cerrar sesion 
25-07-2025 16:11:30 - Inicio de sesion del usuario ezequiel, transcurrieron 0 dias, 5 horas, 0 minutos y 4 segundos hasta cerrar sesion 
25-07-2025 16:12:36 - Inicio de sesion del usuario jeremias, transcurrieron 0 dias, 5 horas, 0 minutos y 5 segundos hasta cerrar sesion 
2025-07-25 16:14:43 - Inicio de sesion del usuario jeremias, transcurrieron 0 dias, 5 horas, 0 minutos y 2 segundos hasta cerrar sesion 
2025-07-25 16:15:33 - Inicio de sesion del usuario jeremias, transcurrieron 0 dias, 0 horas, 0 minutos y 10 segundos hasta cerrar sesion 
2025-07-25 16:27:59 - Inicio de sesion del usuario jeremias, transcurrieron 0 dias, 0 horas, 0 minutos y 24 segundos hasta cerrar sesion 
2025-07-25 22:57:52 - Inicio de sesion del usuario ezequiel, transcurrieron 0 dias, 0 horas, 13 minutos y 51 segundos hasta cerrar sesion 
2025-07-25 23:11:48 - Inicio de sesion del usuario jeremias, transcurrieron 0 dias, 0 horas, 3 minutos y 32 segundos hasta cerrar sesion 
2025-07-25 23:15:24 - Inicio de sesion del usuario ezequiel, transcurrieron 0 dias, 0 horas, 0 minutos y 21 segundos hasta cerrar sesion 
2025-07-25 23:15:49 - Inicio de sesion del usuario jeremias, transcurrieron 0 dias, 0 horas, 0 minutos y 14 segundos hasta cerrar sesion 
2025-07-25 23:29:04 - Inicio de sesion del usuario omonte, transcurrieron 0 dias, 0 horas, 2 minutos y 12 segundos hasta cerrar sesion 
2025-07-25 23:31:20 - Inicio de sesion del usuario jeremias, transcurrieron 0 dias, 0 horas, 0 minutos y 12 segundos hasta cerrar sesion 
2025-07-25 23:31:36 - Inicio de sesion del usuario omonte, transcurrieron 0 dias, 0 horas, 2 minutos y 26 segundos hasta cerrar sesion 
2025-07-25 23:36:37 - Inicio de sesion del usuario jeremias, transcurrieron 0 dias, 0 horas, 0 minutos y 26 segundos hasta cerrar sesion 
2025-07-25 23:37:07 - Inicio de sesion del usuario ezequiel, transcurrieron 0 dias, 0 horas, 0 minutos y 31 segundos hasta cerrar sesion 
2025-07-28 11:19:24 - Inicio de sesion del usuario jeremias, transcurrieron 0 dias, 0 horas, 0 minutos y 2 segundos hasta cerrar sesion 
2025-07-28 11:24:14 - Inicio de sesion del usuario jeremias, transcurrieron 0 dias, 0 horas, 0 minutos y 2 segundos hasta cerrar sesion 
2025-07-28 11:24:23 - Inicio de sesion del usuario jeremias, transcurrieron 0 dias, 0 horas, 0 minutos y 1 segundos hasta cerrar sesion 
2025-07-28 11:25:27 - Inicio de sesion del usuario omonte, transcurrieron 0 dias, 0 horas, 0 minutos y 1 segundos hasta cerrar sesion 
2025-07-28 11:25:30 - Inicio de sesion del usuario jeremias, transcurrieron 0 dias, 0 horas, 0 minutos y 1 segundos hasta cerrar sesion 
2025-07-28 11:28:47 - Inicio de sesion del usuario jeremias, transcurrieron 0 dias, 0 horas, 0 minutos y 2 segundos hasta cerrar sesion 
2025-07-28 11:28:50 - Inicio de sesion del usuario ezequiel, transcurrieron 0 dias, 0 horas, 0 minutos y 1 segundos hasta cerrar sesion 
2025-07-28 11:28:53 - Inicio de sesion del usuario omonte, transcurrieron 0 dias, 0 horas, 0 minutos y 1 segundos hasta cerrar sesion 
2025-07-28 11:28:56 - Inicio de sesion del usuario jeremias, transcurrieron 0 dias, 0 horas, 38 minutos y 32 segundos hasta cerrar sesion 
2025-07-28 12:07:32 - Inicio de sesion del usuario ezequiel, transcurrieron 0 dias, 0 horas, 0 minutos y 47 segundos hasta cerrar sesion 
2025-07-28 12:08:23 - Inicio de sesion del usuario jeremias, transcurrieron 0 dias, 0 horas, 2 minutos y 20 segundos hasta cerrar sesion 
2025-07-28 12:10:45 - Inicio de sesion del usuario ezequiel, transcurrieron 0 dias, 0 horas, 5 minutos y 57 segundos hasta cerrar sesion 
2025-07-28 12:16:47 - Inicio de sesion del usuario omonte, transcurrieron 0 dias, 0 horas, 0 minutos y 9 segundos hasta cerrar sesion 
